Perplexity Results for FFNN on ulysses
--------------------------------------------------------

Average Training Perplexity: 1848.9583
Average Test Perplexity: 1992.5259

Test Set Perplexities:
Sentence 570: 219.0224
Sentence 571: 36.2117
Sentence 572: 1636.2826
Sentence 573: 79.5329
Sentence 574: 1939.0796
Sentence 575: 7999.6913
Sentence 576: 10.1386
Sentence 577: 31.0283
Sentence 578: 1180.0626
Sentence 579: 31.0283
Sentence 580: 3397.8004
Sentence 581: 5911.5857
Sentence 582: 3.7925
Sentence 583: 1189.5034
Sentence 584: 219.0224
Sentence 585: 4885.5151
Sentence 586: 1.0000
Sentence 587: 1.0000
Sentence 588: 7352.9618
Sentence 589: 70.7372
Sentence 590: 79.5329
Sentence 591: 4306.7178
Sentence 592: 31.0283
Sentence 593: 310.6478
Sentence 594: 27.6252
Sentence 595: 799.1293
Sentence 596: 33.3512
Sentence 597: 3384.2249
Sentence 598: 490.0494
Sentence 599: 1740.6373
Sentence 600: 5544.1873
Sentence 601: 35.4008
Sentence 602: 44.4872
Sentence 603: 5614.7667
Sentence 604: 20.2927
Sentence 605: 44.4872
Sentence 606: 2882.8306
Sentence 607: 21.0058
Sentence 608: 4194.2458
Sentence 609: 4151.3750
Sentence 610: 102.7028
Sentence 611: 9.4127
Sentence 612: 907.1705
Sentence 613: 31.0283
Sentence 614: 476.8889
Sentence 615: 1.0011
Sentence 616: 1.0000
Sentence 617: 300.6951
Sentence 618: 64.4893
Sentence 619: 31.0283
Sentence 620: 8207.3891
Sentence 621: 212.2742
Sentence 622: 2.4568
Sentence 623: 1307.7865
Sentence 624: 31.0283
Sentence 625: 6849.6612
Sentence 626: 28.4118
Sentence 627: 849.4879
Sentence 628: 72.0643
Sentence 629: 7792.7300
Sentence 630: 79.5329
Sentence 631: 593.1819
Sentence 632: 1941.6717
Sentence 633: 286.0665
Sentence 634: 7.5478
Sentence 635: 4509.8562
Sentence 636: 3.4137
Sentence 637: 177.6381
Sentence 638: 7721.3754
Sentence 639: 79.5329
Sentence 640: 5316.3200
Sentence 641: 9805.9519
Sentence 642: 370.2184
Sentence 643: 175.2911
Sentence 644: 78.1651
Sentence 645: 5762.9673
Sentence 646: 7209.5284
Sentence 647: 226.9772
Sentence 648: 64.8650
Sentence 649: 1389.1331
Sentence 650: 7027.2170
Sentence 651: 6.9169
Sentence 652: 8942.6693
Sentence 653: 684.8544
Sentence 654: 163.6702
Sentence 655: 3127.3306
Sentence 656: 185.8841
Sentence 657: 2313.3089
Sentence 658: 4026.4531
Sentence 659: 31.3301
Sentence 660: 6056.9809
Sentence 661: 579.2374
Sentence 662: 2476.8823
Sentence 663: 94.1244
Sentence 664: 30.6990
Sentence 665: 8935.9183
Sentence 666: 1245.4386
Sentence 667: 170.9502
Sentence 668: 334.7645
Sentence 669: 44.0030
Sentence 670: 849.4879
Sentence 671: 79.5329
Sentence 672: 9295.4907
Sentence 673: 185.8841
Sentence 674: 127.2095
Sentence 675: 163.6702
Sentence 676: 26.4083
Sentence 677: 1062.0931
Sentence 678: 215.1823
Sentence 679: 27.6252
Sentence 680: 3.6677
Sentence 681: 1652.4946
Sentence 682: 15.4895
Sentence 683: 16.4957
Sentence 684: 3973.1989
Sentence 685: 5334.7745
Sentence 686: 96.8268
Sentence 687: 6.9961
Sentence 688: 219.0224
Sentence 689: 9.3539
Sentence 690: 3.6677
Sentence 691: 3541.4389
Sentence 692: 54.7830
Sentence 693: 1304.3984
Sentence 694: 2041.6194
Sentence 695: 2301.1860
Sentence 696: 212.9481
Sentence 697: 300.6951
Sentence 698: 296.0547
Sentence 699: 11.2840
Sentence 700: 829.6687
Sentence 701: 2964.4985
Sentence 702: 700.4844
Sentence 703: 64.8650
Sentence 704: 353.8940
Sentence 705: 471.2940
Sentence 706: 1602.4607
Sentence 707: 27.6252
Sentence 708: 3880.5770
Sentence 709: 27.6252
Sentence 710: 8997.1821
Sentence 711: 613.2056
Sentence 712: 3983.3952
Sentence 713: 31.0283
Sentence 714: 5247.9554
Sentence 715: 29.8783
Sentence 716: 3419.9651
Sentence 717: 64.8650
Sentence 718: 323.7593
Sentence 719: 1183.9420
Sentence 720: 3.9188
Sentence 721: 3928.7789
Sentence 722: 31.0283
Sentence 723: 5918.2880
Sentence 724: 27.6252
Sentence 725: 64.8427
Sentence 726: 18.4119
Sentence 727: 225.2971
Sentence 728: 14.6048
Sentence 729: 784.3355
Sentence 730: 1284.4585
Sentence 731: 3.2129
Sentence 732: 7427.2622
Sentence 733: 584.9639
Sentence 734: 1911.7799
Sentence 735: 583.9182
Sentence 736: 2284.2810
Sentence 737: 16.3096
Sentence 738: 104.7532
Sentence 739: 31.0283
Sentence 740: 529.8101
Sentence 741: 244.9235
Sentence 742: 17.8256
Sentence 743: 31.0283
Sentence 744: 236.3904
Sentence 745: 35.0654
Sentence 746: 9071.9965
Sentence 747: 8839.1743
Sentence 748: 6.3481
Sentence 749: 79.5329
Sentence 750: 8951.7555
Sentence 751: 8355.4477
Sentence 752: 2.8521
Sentence 753: 91.2829
Sentence 754: 32.3682
Sentence 755: 3275.8728
Sentence 756: 212.2742
Sentence 757: 142.2274
Sentence 758: 1.0580
Sentence 759: 9254.5242
Sentence 760: 4648.5757
Sentence 761: 640.5853
Sentence 762: 27.6252
Sentence 763: 8808.9306
Sentence 764: 579.2374
Sentence 765: 10.5183
Sentence 766: 20.4943
Sentence 767: 1130.8507
Sentence 768: 27.6252
Sentence 769: 6552.3301
Sentence 770: 183.3278
Sentence 771: 1180.0626
Sentence 772: 24.7314
Sentence 773: 521.2587
Sentence 774: 323.7153
Sentence 775: 2686.8105
Sentence 776: 897.0139
Sentence 777: 9387.6438
Sentence 778: 185.8841
Sentence 779: 5639.0141
Sentence 780: 209.6788
Sentence 781: 26.6620
Sentence 782: 8648.9497
Sentence 783: 618.7055
Sentence 784: 5.3284
Sentence 785: 7396.1178
Sentence 786: 9975.1137
Sentence 787: 600.9289
Sentence 788: 102.5030
Sentence 789: 3.8621
