Perplexity Results for RNN on pride_and_prejudice
--------------------------------------------------------

Average Training Perplexity: 255.7799
Average Test Perplexity: 1316.8406

Test Set Perplexities:
Sentence 572: 30.2025
Sentence 573: 2.8891
Sentence 574: 2.2319
Sentence 575: 504.9578
Sentence 576: 25.8652
Sentence 577: 16.7786
Sentence 578: 7911.0067
Sentence 579: 1.3338
Sentence 580: 108.1802
Sentence 581: 2.8378
Sentence 582: 43.7256
Sentence 583: 556.2482
Sentence 584: 1.0341
Sentence 585: 2747.5468
Sentence 586: 8.6695
Sentence 587: 2.4207
Sentence 588: 627.5205
Sentence 589: 28.3037
Sentence 590: 4231.5857
Sentence 591: 8073.5548
Sentence 592: 6.1213
Sentence 593: 945.5456
Sentence 594: 18.7982
Sentence 595: 93.8721
Sentence 596: 52.4366
Sentence 597: 466.2620
Sentence 598: 46.8396
Sentence 599: 7.6302
Sentence 600: 37.5354
Sentence 601: 59.5566
Sentence 602: 3736.3995
Sentence 603: 6.2559
Sentence 604: 30.5653
Sentence 605: 5677.8565
Sentence 606: 175.2157
Sentence 607: 21.5840
Sentence 608: 27.9471
Sentence 609: 542.3442
Sentence 610: 32.3842
Sentence 611: 1718.8782
Sentence 612: 26.4555
Sentence 613: 547.4973
Sentence 614: 16.2560
Sentence 615: 6408.7838
Sentence 616: 41.3309
Sentence 617: 44.5582
Sentence 618: 2635.8156
Sentence 619: 7594.4224
Sentence 620: 4.6974
Sentence 621: 14.3443
Sentence 622: 8292.6328
Sentence 623: 97.2775
Sentence 624: 6280.2930
Sentence 625: 54.7494
Sentence 626: 9392.2464
Sentence 627: 30.2164
Sentence 628: 5380.4667
Sentence 629: 19.8788
Sentence 630: 11.7839
Sentence 631: 11.8391
Sentence 632: 21.0311
Sentence 633: 7.6302
Sentence 634: 23.2580
Sentence 635: 88.3569
Sentence 636: 1239.1763
Sentence 637: 135.5071
Sentence 638: 3646.3178
Sentence 639: 4.3722
Sentence 640: 2562.9242
Sentence 641: 111.3008
Sentence 642: 7.1921
Sentence 643: 113.6044
Sentence 644: 25.0324
Sentence 645: 2498.4016
Sentence 646: 4561.5605
Sentence 647: 2.6563
Sentence 648: 208.4596
Sentence 649: 25.9863
Sentence 650: 2411.6861
Sentence 651: 2145.8246
Sentence 652: 24.1371
Sentence 653: 1961.5702
Sentence 654: 16.1089
Sentence 655: 4.7227
Sentence 656: 2.2915
Sentence 657: 2052.9278
Sentence 658: 509.0282
Sentence 659: 57.2713
Sentence 660: 724.0285
Sentence 661: 1118.1002
Sentence 662: 3617.2627
Sentence 663: 4.5559
Sentence 664: 2.3149
Sentence 665: 39.7651
Sentence 666: 50.9561
Sentence 667: 858.2224
Sentence 668: 588.1930
Sentence 669: 380.7095
Sentence 670: 780.4194
Sentence 671: 157.5429
Sentence 672: 51.4316
Sentence 673: 3.1252
Sentence 674: 142.3061
Sentence 675: 2734.3241
Sentence 676: 39.7186
Sentence 677: 133.1191
Sentence 678: 269.7740
Sentence 679: 19.3295
Sentence 680: 532.8689
Sentence 681: 9119.3801
Sentence 682: 17.9365
Sentence 683: 2.4305
Sentence 684: 225.6511
Sentence 685: 22.2006
Sentence 686: 42.9951
Sentence 687: 1.0003
Sentence 688: 10.8645
Sentence 689: 125.0388
Sentence 690: 3.8822
Sentence 691: 1824.3949
