Perplexity Results for LSTM on pride_and_prejudice
--------------------------------------------------------

Average Training Perplexity: 166.3927
Average Test Perplexity: 1108.9579

Test Set Perplexities:
Sentence 361: 86.8504
Sentence 362: 638.1095
Sentence 363: 7.3922
Sentence 364: 9.3495
Sentence 365: 237.0127
Sentence 366: 5685.6477
Sentence 367: 44.8637
Sentence 368: 4189.3971
Sentence 369: 150.9002
Sentence 370: 51.2213
Sentence 371: 1.0009
Sentence 372: 2.8863
Sentence 373: 11.9638
Sentence 374: 3329.2719
Sentence 375: 1.0000
Sentence 376: 7.3250
Sentence 377: 321.0511
Sentence 378: 1276.8362
Sentence 379: 1.0001
Sentence 380: 9.4264
Sentence 381: 13.7584
Sentence 382: 1.0002
Sentence 383: 142.6932
Sentence 384: 2.8752
Sentence 385: 3.4770
Sentence 386: 380.4362
Sentence 387: 8441.7431
Sentence 388: 254.2714
Sentence 389: 127.0803
Sentence 390: 16.8666
Sentence 391: 9.8277
Sentence 392: 32.2021
Sentence 393: 11.5402
Sentence 394: 179.9931
Sentence 395: 13.7524
Sentence 396: 1054.3407
Sentence 397: 92.8968
Sentence 398: 3.9408
Sentence 399: 31.0618
Sentence 400: 2259.9151
Sentence 401: 1.0004
Sentence 402: 10.7349
Sentence 403: 36.3707
Sentence 404: 24.2761
Sentence 405: 151.3446
Sentence 406: 1.0001
Sentence 407: 10.7349
Sentence 408: 3022.8953
Sentence 409: 15.2372
Sentence 410: 25.6807
Sentence 411: 4.9606
Sentence 412: 4.9230
Sentence 413: 39.8272
Sentence 414: 19.3146
Sentence 415: 31.0618
Sentence 416: 8036.8208
Sentence 417: 19.9146
Sentence 418: 239.3868
Sentence 419: 20.3560
Sentence 420: 132.7567
Sentence 421: 1.6652
Sentence 422: 1.0101
Sentence 423: 5.0568
Sentence 424: 13.0698
Sentence 425: 5565.7579
Sentence 426: 414.2818
Sentence 427: 2848.0996
Sentence 428: 25.7628
Sentence 429: 95.6097
Sentence 430: 4.3130
Sentence 431: 491.7807
Sentence 432: 2458.3541
Sentence 433: 5645.6276
Sentence 434: 22.8977
Sentence 435: 366.1654
Sentence 436: 34.9828
Sentence 437: 135.5635
Sentence 438: 3.6426
Sentence 439: 590.1621
Sentence 440: 531.7039
Sentence 441: 27.8049
Sentence 442: 389.5873
Sentence 443: 457.4783
Sentence 444: 4.7938
Sentence 445: 57.5764
Sentence 446: 2475.4619
Sentence 447: 1.0000
Sentence 448: 8.4700
Sentence 449: 1.0004
Sentence 450: 1.0006
Sentence 451: 838.3013
Sentence 452: 2329.7032
Sentence 453: 12.1666
Sentence 454: 4655.9396
Sentence 455: 257.1928
Sentence 456: 138.6943
Sentence 457: 446.5362
Sentence 458: 6793.8293
Sentence 459: 6649.7521
Sentence 460: 785.7651
Sentence 461: 3118.0414
Sentence 462: 1.0004
Sentence 463: 1.2819
Sentence 464: 523.8686
Sentence 465: 4932.5227
Sentence 466: 5524.1601
Sentence 467: 3.8002
Sentence 468: 9.4264
Sentence 469: 749.1500
Sentence 470: 306.2560
Sentence 471: 726.4967
Sentence 472: 15.4388
Sentence 473: 1624.1498
Sentence 474: 158.2985
Sentence 475: 324.9895
Sentence 476: 136.1756
Sentence 477: 12.4435
Sentence 478: 4.3220
Sentence 479: 1106.0719
Sentence 480: 1092.6485
Sentence 481: 2165.9849
Sentence 482: 463.8409
Sentence 483: 5674.4783
Sentence 484: 1038.1027
Sentence 485: 23.3653
Sentence 486: 14.7714
Sentence 487: 9.1762
Sentence 488: 247.6771
Sentence 489: 193.5157
Sentence 490: 7.1940
Sentence 491: 1023.0561
Sentence 492: 679.2573
Sentence 493: 80.4340
Sentence 494: 3783.8136
Sentence 495: 237.6967
Sentence 496: 16.3009
Sentence 497: 6472.6386
Sentence 498: 100.7924
Sentence 499: 7770.5417
Sentence 500: 214.7016
Sentence 501: 6994.8084
Sentence 502: 23.7318
Sentence 503: 2977.0914
Sentence 504: 393.5088
Sentence 505: 2.6699
Sentence 506: 17.8318
Sentence 507: 1582.2556
Sentence 508: 64.3320
Sentence 509: 4.3946
Sentence 510: 272.1187
Sentence 511: 14.4218
Sentence 512: 308.9279
Sentence 513: 5909.3153
Sentence 514: 41.2194
Sentence 515: 2997.6952
Sentence 516: 555.4971
Sentence 517: 62.7518
Sentence 518: 22.8835
Sentence 519: 21.4358
Sentence 520: 7297.4178
Sentence 521: 707.7722
Sentence 522: 2389.0641
Sentence 523: 46.1014
Sentence 524: 1.2222
Sentence 525: 7715.7524
Sentence 526: 3.8467
Sentence 527: 6.8025
Sentence 528: 8855.5822
Sentence 529: 104.2812
Sentence 530: 172.4635
Sentence 531: 31.7432
Sentence 532: 282.8839
Sentence 533: 1.1421
Sentence 534: 41.4805
Sentence 535: 4.7767
Sentence 536: 17.5474
Sentence 537: 1208.8877
Sentence 538: 1180.2292
Sentence 539: 2013.5077
Sentence 540: 34.5637
Sentence 541: 6676.7373
Sentence 542: 148.7663
Sentence 543: 287.5387
Sentence 544: 443.8883
Sentence 545: 2584.3507
Sentence 546: 560.0439
Sentence 547: 38.7015
Sentence 548: 1134.6003
Sentence 549: 4.0303
Sentence 550: 355.8784
Sentence 551: 7.1875
Sentence 552: 5.4292
Sentence 553: 1.0004
Sentence 554: 2011.6802
Sentence 555: 8.6353
Sentence 556: 2217.0755
Sentence 557: 34.2249
Sentence 558: 6029.5635
Sentence 559: 130.8146
Sentence 560: 280.9166
Sentence 561: 189.0961
Sentence 562: 1476.1499
Sentence 563: 882.8366
Sentence 564: 900.5135
Sentence 565: 1.0033
Sentence 566: 8.5643
Sentence 567: 2604.1397
Sentence 568: 9453.1974
Sentence 569: 4880.6921
Sentence 570: 26.9352
Sentence 571: 84.9848
Sentence 572: 13.0721
Sentence 573: 2.3089
Sentence 574: 2.6808
Sentence 575: 399.5646
Sentence 576: 8.1444
Sentence 577: 7.6752
Sentence 578: 935.0179
Sentence 579: 6.6906
Sentence 580: 312.1466
Sentence 581: 3.8897
Sentence 582: 67.6525
Sentence 583: 83.3088
Sentence 584: 1.0452
Sentence 585: 639.4128
Sentence 586: 9.4005
Sentence 587: 5.8453
Sentence 588: 121.7863
Sentence 589: 34.4900
Sentence 590: 8075.7450
Sentence 591: 417.1814
Sentence 592: 1.5072
Sentence 593: 1309.9502
Sentence 594: 22.3626
Sentence 595: 200.6619
Sentence 596: 23.8576
Sentence 597: 32.1125
Sentence 598: 22.6061
Sentence 599: 10.8476
Sentence 600: 53.4869
Sentence 601: 39.3145
Sentence 602: 4115.7821
Sentence 603: 6.5464
Sentence 604: 7.6167
Sentence 605: 9925.1713
Sentence 606: 403.3394
Sentence 607: 2.3733
Sentence 608: 49.7392
Sentence 609: 222.4627
Sentence 610: 696.5594
Sentence 611: 915.1107
Sentence 612: 22.6694
Sentence 613: 1289.9937
Sentence 614: 40.5065
Sentence 615: 7030.9817
Sentence 616: 643.5505
Sentence 617: 12.6435
Sentence 618: 2440.2917
Sentence 619: 1640.6164
Sentence 620: 9.9279
Sentence 621: 28.1185
Sentence 622: 6234.5437
Sentence 623: 54.4355
Sentence 624: 8295.8588
Sentence 625: 111.2496
Sentence 626: 2346.3547
Sentence 627: 9.1207
Sentence 628: 773.7766
Sentence 629: 311.2730
Sentence 630: 6.3774
Sentence 631: 26.3853
Sentence 632: 12.9934
Sentence 633: 10.8476
Sentence 634: 35.2642
Sentence 635: 36.4563
Sentence 636: 7550.8802
Sentence 637: 12.7630
Sentence 638: 7802.8377
Sentence 639: 6.4095
Sentence 640: 3260.5147
Sentence 641: 177.6130
Sentence 642: 24.2670
Sentence 643: 95.5080
Sentence 644: 831.8046
Sentence 645: 7452.2182
Sentence 646: 730.9465
Sentence 647: 21.3002
Sentence 648: 253.5413
Sentence 649: 11.1513
Sentence 650: 2472.1189
Sentence 651: 705.6027
Sentence 652: 311.4440
Sentence 653: 4198.0249
Sentence 654: 12.4758
Sentence 655: 28.7109
Sentence 656: 11.7302
Sentence 657: 153.0662
Sentence 658: 129.6258
Sentence 659: 17.2428
Sentence 660: 65.8887
Sentence 661: 3168.7618
Sentence 662: 131.5792
Sentence 663: 4.9045
Sentence 664: 7.3736
Sentence 665: 27.1552
Sentence 666: 13.9603
Sentence 667: 30.1394
Sentence 668: 253.2801
Sentence 669: 536.7347
Sentence 670: 567.1187
Sentence 671: 35.4055
Sentence 672: 38.8049
Sentence 673: 6.3516
Sentence 674: 125.2329
Sentence 675: 698.8247
Sentence 676: 5.4588
Sentence 677: 203.2500
Sentence 678: 299.1922
Sentence 679: 12.3992
Sentence 680: 530.6639
Sentence 681: 4205.7405
Sentence 682: 167.2668
Sentence 683: 4.5333
Sentence 684: 51.8204
Sentence 685: 53.3131
Sentence 686: 122.2861
Sentence 687: 1.0105
Sentence 688: 25.3590
Sentence 689: 46.1574
Sentence 690: 6.9318
Sentence 691: 4952.0453
Sentence 692: 1091.0980
Sentence 693: 22.7247
Sentence 694: 7.5112
Sentence 695: 3555.9355
Sentence 696: 9.6564
Sentence 697: 79.6207
Sentence 698: 2.2391
Sentence 699: 199.7647
Sentence 700: 136.8516
Sentence 701: 50.7612
Sentence 702: 6700.9749
Sentence 703: 1818.3909
Sentence 704: 25.2478
Sentence 705: 100.3090
Sentence 706: 2.0419
Sentence 707: 143.7467
Sentence 708: 16.0362
Sentence 709: 3020.7365
Sentence 710: 794.0110
Sentence 711: 24.7518
Sentence 712: 8991.2514
Sentence 713: 8.4620
Sentence 714: 4109.0286
Sentence 715: 1.3186
Sentence 716: 1.1681
Sentence 717: 40.1902
Sentence 718: 119.0355
Sentence 719: 1.1535
Sentence 720: 4.0622
Sentence 721: 729.6353
Sentence 722: 97.1097
Sentence 723: 686.6391
Sentence 724: 4.3240
Sentence 725: 54.8908
Sentence 726: 42.9108
Sentence 727: 9433.2335
Sentence 728: 7.8648
Sentence 729: 6664.8557
Sentence 730: 1.6810
Sentence 731: 5.6886
Sentence 732: 347.8283
Sentence 733: 22.0087
Sentence 734: 719.5082
Sentence 735: 442.7706
Sentence 736: 9.9605
Sentence 737: 3698.3411
Sentence 738: 35.5345
Sentence 739: 12.4600
Sentence 740: 687.2359
Sentence 741: 4.8785
Sentence 742: 8.4901
Sentence 743: 5.5121
Sentence 744: 1.3915
Sentence 745: 803.8630
Sentence 746: 242.9810
Sentence 747: 1706.8108
Sentence 748: 1896.2213
Sentence 749: 9.0508
Sentence 750: 21.2701
Sentence 751: 86.1602
Sentence 752: 1564.4493
Sentence 753: 24.5175
Sentence 754: 2.1936
Sentence 755: 1767.8915
Sentence 756: 11.3478
Sentence 757: 39.4774
Sentence 758: 4.2552
Sentence 759: 251.7219
Sentence 760: 475.6755
Sentence 761: 30.8472
Sentence 762: 311.9089
Sentence 763: 334.1915
Sentence 764: 4.5738
Sentence 765: 742.1720
Sentence 766: 389.2289
Sentence 767: 1.0445
Sentence 768: 5446.2890
Sentence 769: 30.9085
Sentence 770: 6.8002
Sentence 771: 50.9725
Sentence 772: 4.1238
Sentence 773: 5.5708
Sentence 774: 3.4746
Sentence 775: 216.9148
Sentence 776: 5538.9289
Sentence 777: 3.3117
Sentence 778: 492.6207
Sentence 779: 1.0956
Sentence 780: 563.0612
Sentence 781: 2.5074
Sentence 782: 119.8861
