Perplexity Results for FFNN on pride_and_prejudice
--------------------------------------------------------

Average Training Perplexity: 427.4428
Average Test Perplexity: 1200.8770

Test Set Perplexities:
Sentence 307: 108.4031
Sentence 308: 813.1506
Sentence 309: 3930.1392
Sentence 310: 43.8633
Sentence 311: 5.1984
Sentence 312: 421.6140
Sentence 313: 1.0034
Sentence 314: 4.8162
Sentence 315: 1080.1665
Sentence 316: 7918.0000
Sentence 317: 7089.4264
Sentence 318: 357.2612
Sentence 319: 4.7824
Sentence 320: 1271.6873
Sentence 321: 1.0217
Sentence 322: 2213.9568
Sentence 323: 75.2496
Sentence 324: 946.2201
Sentence 325: 18.8424
Sentence 326: 9.0067
Sentence 327: 9914.7679
Sentence 328: 8595.8704
Sentence 329: 220.4925
Sentence 330: 95.5218
Sentence 331: 97.9235
Sentence 332: 4.5128
Sentence 333: 6381.7762
Sentence 334: 31.7292
Sentence 335: 5.6562
Sentence 336: 9301.0757
Sentence 337: 401.4530
Sentence 338: 12.0491
Sentence 339: 201.8848
Sentence 340: 422.8632
Sentence 341: 18.7688
Sentence 342: 55.2336
Sentence 343: 222.5459
Sentence 344: 640.1346
Sentence 345: 356.5364
Sentence 346: 588.3327
Sentence 347: 74.1669
Sentence 348: 371.9783
Sentence 349: 787.5304
Sentence 350: 1582.3588
Sentence 351: 4985.1535
Sentence 352: 255.9819
Sentence 353: 277.4016
Sentence 354: 1.0411
Sentence 355: 2615.0552
Sentence 356: 3897.6066
Sentence 357: 4744.4823
Sentence 358: 5.1067
Sentence 359: 26.1899
Sentence 360: 606.8527
Sentence 361: 84.0951
Sentence 362: 223.1339
Sentence 363: 6.7841
Sentence 364: 6.4462
Sentence 365: 121.3406
Sentence 366: 4400.9327
Sentence 367: 43.5449
Sentence 368: 6174.4739
Sentence 369: 205.4279
Sentence 370: 14.0353
Sentence 371: 1.0044
Sentence 372: 16.2784
Sentence 373: 6.8989
Sentence 374: 3236.1449
Sentence 375: 1.0001
Sentence 376: 5.9401
Sentence 377: 9623.3844
Sentence 378: 1050.7026
Sentence 379: 1.0001
Sentence 380: 7.5219
Sentence 381: 14.5289
Sentence 382: 1.0032
Sentence 383: 202.8241
Sentence 384: 4.5488
Sentence 385: 9.5969
Sentence 386: 300.6758
Sentence 387: 5042.9919
Sentence 388: 1033.9031
Sentence 389: 31.7691
Sentence 390: 23.6783
Sentence 391: 42.1200
Sentence 392: 31.4446
Sentence 393: 29.6529
Sentence 394: 2504.5559
Sentence 395: 12.4161
Sentence 396: 2642.9073
Sentence 397: 55.4984
Sentence 398: 10.3568
Sentence 399: 26.2073
Sentence 400: 273.2399
Sentence 401: 1.0207
Sentence 402: 5.9040
Sentence 403: 7.5818
Sentence 404: 17.9206
Sentence 405: 111.1431
Sentence 406: 1.0023
Sentence 407: 5.9040
Sentence 408: 171.0042
Sentence 409: 7.9026
Sentence 410: 49.6137
Sentence 411: 8.0841
Sentence 412: 14.2884
Sentence 413: 49.9684
Sentence 414: 22.0123
Sentence 415: 26.2073
Sentence 416: 9063.8573
Sentence 417: 107.8937
Sentence 418: 108.1448
Sentence 419: 34.9874
Sentence 420: 54.5659
Sentence 421: 4.0636
Sentence 422: 1.0362
Sentence 423: 6.4207
Sentence 424: 12.9677
Sentence 425: 4471.2942
Sentence 426: 108.5478
Sentence 427: 5344.6146
Sentence 428: 21.4279
Sentence 429: 701.2594
Sentence 430: 5.2529
Sentence 431: 110.3025
Sentence 432: 9099.7325
Sentence 433: 8055.1214
Sentence 434: 774.0025
Sentence 435: 5964.7512
Sentence 436: 20.7933
Sentence 437: 105.2607
Sentence 438: 27.8332
Sentence 439: 219.2310
Sentence 440: 318.3572
Sentence 441: 11.3963
Sentence 442: 2082.5073
Sentence 443: 83.8984
Sentence 444: 7.9072
Sentence 445: 59.9796
Sentence 446: 365.5866
Sentence 447: 1.0008
Sentence 448: 15.8242
Sentence 449: 1.0092
Sentence 450: 1.0032
Sentence 451: 332.6598
Sentence 452: 2444.5611
Sentence 453: 6.1150
Sentence 454: 508.5612
Sentence 455: 9.3960
Sentence 456: 3581.9469
Sentence 457: 84.1971
Sentence 458: 5441.3057
Sentence 459: 3301.7696
Sentence 460: 125.2437
Sentence 461: 2083.5438
Sentence 462: 1.0000
Sentence 463: 1.1387
Sentence 464: 285.8377
Sentence 465: 3831.0033
Sentence 466: 1074.9583
Sentence 467: 3.6558
Sentence 468: 7.5219
Sentence 469: 6151.1764
Sentence 470: 294.7318
Sentence 471: 1477.3625
Sentence 472: 150.6806
Sentence 473: 9531.6552
Sentence 474: 363.0986
Sentence 475: 102.0285
Sentence 476: 130.6746
Sentence 477: 39.6990
Sentence 478: 7.7402
Sentence 479: 5939.9683
Sentence 480: 1119.7275
Sentence 481: 3075.5482
Sentence 482: 199.3900
Sentence 483: 3673.6412
Sentence 484: 162.0692
Sentence 485: 121.6677
Sentence 486: 4.1146
Sentence 487: 48.4728
Sentence 488: 813.9769
Sentence 489: 57.2013
Sentence 490: 10.3247
Sentence 491: 240.5095
Sentence 492: 7933.2390
Sentence 493: 19.6343
Sentence 494: 9455.2298
Sentence 495: 161.4189
Sentence 496: 19.1797
Sentence 497: 365.5867
Sentence 498: 65.5103
Sentence 499: 6118.1026
Sentence 500: 68.5030
Sentence 501: 8628.8021
Sentence 502: 83.2242
Sentence 503: 3271.7882
Sentence 504: 1056.5768
Sentence 505: 5.3705
Sentence 506: 116.9024
Sentence 507: 898.1738
Sentence 508: 4918.9468
Sentence 509: 14.5292
Sentence 510: 103.4902
Sentence 511: 9.6282
Sentence 512: 249.0609
Sentence 513: 1434.0236
Sentence 514: 8.5940
Sentence 515: 8541.4674
Sentence 516: 147.4318
Sentence 517: 20.9569
Sentence 518: 61.2780
Sentence 519: 33.0831
Sentence 520: 3771.2743
Sentence 521: 4435.1467
Sentence 522: 1297.8195
Sentence 523: 85.4098
Sentence 524: 1.9818
Sentence 525: 854.1288
Sentence 526: 7.4002
Sentence 527: 5.6981
Sentence 528: 8210.0793
Sentence 529: 329.4389
Sentence 530: 5836.7531
Sentence 531: 42.1227
Sentence 532: 225.1170
Sentence 533: 1.3991
Sentence 534: 39.4417
Sentence 535: 8.6796
Sentence 536: 41.8919
Sentence 537: 7654.7005
Sentence 538: 319.4714
Sentence 539: 2472.4384
Sentence 540: 40.9678
Sentence 541: 4817.3158
Sentence 542: 110.0611
Sentence 543: 23.5935
Sentence 544: 734.9195
Sentence 545: 2320.6397
Sentence 546: 8126.2150
Sentence 547: 5235.4768
Sentence 548: 1773.2193
Sentence 549: 10.8069
Sentence 550: 117.9048
Sentence 551: 37.0634
Sentence 552: 10.8658
Sentence 553: 1.0220
Sentence 554: 9579.0043
Sentence 555: 18.1851
Sentence 556: 1837.2893
Sentence 557: 5.9222
Sentence 558: 8587.5234
Sentence 559: 42.5804
Sentence 560: 139.3858
Sentence 561: 79.1302
Sentence 562: 1116.6611
Sentence 563: 4294.2910
Sentence 564: 619.2847
Sentence 565: 1.0002
Sentence 566: 11.8208
Sentence 567: 5668.4033
Sentence 568: 2568.8159
Sentence 569: 6896.0000
Sentence 570: 567.6598
Sentence 571: 29.2745
Sentence 572: 17.2019
Sentence 573: 5.2933
Sentence 574: 8.3254
Sentence 575: 1795.9407
Sentence 576: 10.6946
Sentence 577: 30.4777
Sentence 578: 387.8427
Sentence 579: 3.8717
Sentence 580: 148.1785
Sentence 581: 6.1786
Sentence 582: 281.3462
Sentence 583: 34.3272
Sentence 584: 1.2610
Sentence 585: 294.5835
Sentence 586: 9.5588
Sentence 587: 5.9705
Sentence 588: 59.1064
Sentence 589: 30.3519
Sentence 590: 1034.1152
Sentence 591: 318.0119
Sentence 592: 7458.4636
Sentence 593: 1523.0053
Sentence 594: 27.4903
Sentence 595: 69.1530
Sentence 596: 446.4049
Sentence 597: 61.1538
Sentence 598: 21.0034
Sentence 599: 18.9944
Sentence 600: 126.9484
Sentence 601: 43.3711
Sentence 602: 1077.6150
Sentence 603: 2.5278
Sentence 604: 10.6851
Sentence 605: 6124.4436
Sentence 606: 2362.9764
Sentence 607: 23.6117
Sentence 608: 35.6113
Sentence 609: 131.0422
Sentence 610: 263.2683
Sentence 611: 721.2323
Sentence 612: 374.6758
Sentence 613: 1686.3934
Sentence 614: 38.1845
Sentence 615: 4573.7805
Sentence 616: 326.9131
Sentence 617: 28.3289
Sentence 618: 7041.2053
Sentence 619: 5277.4261
Sentence 620: 31.1206
Sentence 621: 49.7020
Sentence 622: 1266.8736
Sentence 623: 31.6057
Sentence 624: 9530.2815
Sentence 625: 30.0797
Sentence 626: 2592.1469
Sentence 627: 25.1380
Sentence 628: 433.6389
Sentence 629: 449.7231
Sentence 630: 28.0628
Sentence 631: 32.3680
Sentence 632: 30.8562
Sentence 633: 18.9944
Sentence 634: 26.6666
Sentence 635: 48.8901
Sentence 636: 395.3047
Sentence 637: 16.2338
Sentence 638: 4883.5117
Sentence 639: 5.2795
Sentence 640: 435.9333
Sentence 641: 132.6579
Sentence 642: 2.9629
Sentence 643: 104.0794
Sentence 644: 602.4472
Sentence 645: 3042.5730
Sentence 646: 1366.6797
Sentence 647: 2.1553
Sentence 648: 105.1840
Sentence 649: 275.0634
