Perplexity Results for RNN on ulysses
--------------------------------------------------------

Average Training Perplexity: 649.1392
Average Test Perplexity: 1952.1131

Test Set Perplexities:
Sentence 338: 87.9613
Sentence 339: 222.1760
Sentence 340: 230.2367
Sentence 341: 6915.4611
Sentence 342: 2566.8664
Sentence 343: 20.4628
Sentence 344: 2168.1030
Sentence 345: 4898.8951
Sentence 346: 30.2865
Sentence 347: 5272.9397
Sentence 348: 8875.6678
Sentence 349: 66.5482
Sentence 350: 274.0049
Sentence 351: 3209.7792
Sentence 352: 31.5083
Sentence 353: 279.7736
Sentence 354: 4662.2589
Sentence 355: 3644.7606
Sentence 356: 1569.1158
Sentence 357: 5.1427
Sentence 358: 8673.1499
Sentence 359: 9704.5718
Sentence 360: 3.5374
Sentence 361: 53.4053
Sentence 362: 20.6987
Sentence 363: 147.2154
Sentence 364: 71.5224
Sentence 365: 1096.3341
Sentence 366: 222.7119
Sentence 367: 4303.0352
Sentence 368: 6320.4521
Sentence 369: 785.1782
Sentence 370: 166.8847
Sentence 371: 826.1390
Sentence 372: 21.0377
Sentence 373: 6963.9578
Sentence 374: 19.0548
Sentence 375: 98.7435
Sentence 376: 44.4083
Sentence 377: 1054.4267
Sentence 378: 53.1447
Sentence 379: 528.5462
Sentence 380: 222.3440
Sentence 381: 19.8171
Sentence 382: 748.0953
Sentence 383: 43.8621
Sentence 384: 1.9198
Sentence 385: 6784.2577
Sentence 386: 3.8597
Sentence 387: 3.7046
Sentence 388: 8670.6038
Sentence 389: 5267.2427
Sentence 390: 8.9111
Sentence 391: 2041.7956
Sentence 392: 114.1268
Sentence 393: 5427.8413
Sentence 394: 2295.2015
Sentence 395: 5143.2613
Sentence 396: 4.6698
Sentence 397: 123.7716
Sentence 398: 6048.7867
Sentence 399: 21.1672
Sentence 400: 15.8063
Sentence 401: 1049.9451
Sentence 402: 565.7234
Sentence 403: 3.2790
Sentence 404: 451.3132
Sentence 405: 4.5511
Sentence 406: 24.8545
Sentence 407: 1.0062
Sentence 408: 3.9641
Sentence 409: 2.9405
Sentence 410: 14.9070
Sentence 411: 11.4834
Sentence 412: 6338.6151
Sentence 413: 2054.6198
Sentence 414: 18.4505
Sentence 415: 139.8884
Sentence 416: 4087.5038
Sentence 417: 12.0700
Sentence 418: 133.3212
Sentence 419: 9.5539
Sentence 420: 7904.6718
Sentence 421: 314.4120
Sentence 422: 185.3152
Sentence 423: 21.7595
Sentence 424: 2396.6228
Sentence 425: 2777.7662
Sentence 426: 316.2060
Sentence 427: 92.2093
Sentence 428: 2521.2137
Sentence 429: 886.6305
Sentence 430: 8425.9332
Sentence 431: 1297.3730
Sentence 432: 10.2025
Sentence 433: 5.2013
Sentence 434: 3838.7681
Sentence 435: 37.3617
Sentence 436: 18.9147
Sentence 437: 208.0295
Sentence 438: 1026.2701
Sentence 439: 5.0759
Sentence 440: 8982.9307
Sentence 441: 30.6788
Sentence 442: 1.0738
Sentence 443: 4813.8336
Sentence 444: 36.3908
Sentence 445: 15.8211
Sentence 446: 1.0068
Sentence 447: 5114.4339
Sentence 448: 8917.7420
Sentence 449: 18.4975
Sentence 450: 3.4790
Sentence 451: 1377.4289
Sentence 452: 3.1881
Sentence 453: 1.0621
Sentence 454: 1886.5162
Sentence 455: 17.5946
Sentence 456: 258.9159
Sentence 457: 4.6443
Sentence 458: 2717.0963
Sentence 459: 3566.4005
Sentence 460: 22.8050
Sentence 461: 405.7388
Sentence 462: 16.7330
Sentence 463: 7164.5875
Sentence 464: 4.7348
Sentence 465: 2893.9779
Sentence 466: 5105.5235
Sentence 467: 3.7839
