Perplexity Results for LSTM on ulysses
--------------------------------------------------------

Average Training Perplexity: 764.0636
Average Test Perplexity: 1845.8647

Test Set Perplexities:
Sentence 352: 38.8287
Sentence 353: 172.3148
Sentence 354: 6280.8491
Sentence 355: 6634.3240
Sentence 356: 4185.1746
Sentence 357: 1.3295
Sentence 358: 1353.2967
Sentence 359: 2911.7496
Sentence 360: 2.9433
Sentence 361: 39.9515
Sentence 362: 4.1557
Sentence 363: 9127.6197
Sentence 364: 32.1741
Sentence 365: 241.8975
Sentence 366: 64.3470
Sentence 367: 1948.3061
Sentence 368: 5390.7646
Sentence 369: 68.9967
Sentence 370: 548.2423
Sentence 371: 618.3820
Sentence 372: 35.1786
Sentence 373: 1779.7738
Sentence 374: 98.8741
Sentence 375: 10.2633
Sentence 376: 83.2351
Sentence 377: 1192.0324
Sentence 378: 43.5142
Sentence 379: 1488.0631
Sentence 380: 8436.0520
Sentence 381: 12.9077
Sentence 382: 3266.8900
Sentence 383: 68.2947
Sentence 384: 3.8558
Sentence 385: 623.2333
Sentence 386: 2.4827
Sentence 387: 2.7906
Sentence 388: 2536.6833
Sentence 389: 5477.6186
Sentence 390: 2.2508
Sentence 391: 599.3798
Sentence 392: 126.3873
Sentence 393: 7069.4101
Sentence 394: 171.3154
Sentence 395: 6351.3763
Sentence 396: 5.9724
Sentence 397: 3632.2485
Sentence 398: 5775.4030
Sentence 399: 15.0292
Sentence 400: 3.6552
Sentence 401: 580.5138
Sentence 402: 208.5978
Sentence 403: 9.0695
Sentence 404: 7433.1915
Sentence 405: 3.5540
Sentence 406: 7.0200
Sentence 407: 1.0078
Sentence 408: 3.6881
Sentence 409: 1.1308
Sentence 410: 1.5280
Sentence 411: 4.0948
Sentence 412: 45.8091
Sentence 413: 1871.6710
Sentence 414: 20.9012
Sentence 415: 54.5578
Sentence 416: 837.6685
Sentence 417: 5.0530
Sentence 418: 396.1007
Sentence 419: 29.4668
Sentence 420: 4541.7593
Sentence 421: 8385.6077
Sentence 422: 1077.9277
Sentence 423: 9.7835
Sentence 424: 7550.9024
Sentence 425: 178.1259
Sentence 426: 47.7559
Sentence 427: 12.5928
Sentence 428: 495.8160
Sentence 429: 130.2485
Sentence 430: 4448.5490
Sentence 431: 347.2047
Sentence 432: 10.1939
Sentence 433: 1.7356
Sentence 434: 8070.3499
Sentence 435: 3.5319
Sentence 436: 159.7158
Sentence 437: 1035.9185
Sentence 438: 110.3443
Sentence 439: 2.3391
Sentence 440: 5920.4555
Sentence 441: 170.9293
Sentence 442: 1.0470
Sentence 443: 3931.7501
Sentence 444: 26.8184
Sentence 445: 16.4919
Sentence 446: 1.0933
Sentence 447: 2392.6552
Sentence 448: 9727.1370
Sentence 449: 37.6084
Sentence 450: 6.8458
Sentence 451: 7467.4313
Sentence 452: 8.0650
Sentence 453: 1.0535
Sentence 454: 859.0752
Sentence 455: 37.6491
Sentence 456: 174.4637
Sentence 457: 4.6197
Sentence 458: 607.3738
Sentence 459: 647.3624
Sentence 460: 60.4197
Sentence 461: 535.7454
Sentence 462: 37.6365
Sentence 463: 4379.6152
Sentence 464: 35.6388
Sentence 465: 401.9236
Sentence 466: 317.5656
Sentence 467: 5.2468
Sentence 468: 1507.7447
Sentence 469: 56.7708
Sentence 470: 10.7684
Sentence 471: 6650.7727
Sentence 472: 1.6192
Sentence 473: 1.0535
Sentence 474: 72.2860
Sentence 475: 66.9741
Sentence 476: 5683.9384
Sentence 477: 391.8696
Sentence 478: 13.6075
Sentence 479: 1287.3827
Sentence 480: 6166.6885
Sentence 481: 31.1684
Sentence 482: 1.0017
Sentence 483: 168.8586
Sentence 484: 42.5725
Sentence 485: 583.4863
Sentence 486: 62.9882
Sentence 487: 225.8834
Sentence 488: 6791.3749
Sentence 489: 123.9807
Sentence 490: 63.1735
Sentence 491: 5459.9683
Sentence 492: 180.2785
Sentence 493: 1.0108
Sentence 494: 1.7851
Sentence 495: 1364.7134
Sentence 496: 64.0353
Sentence 497: 2.4333
Sentence 498: 401.2348
Sentence 499: 8.3580
Sentence 500: 3613.4528
Sentence 501: 306.8159
Sentence 502: 229.6442
Sentence 503: 1519.4666
Sentence 504: 62.0934
Sentence 505: 24.0875
Sentence 506: 6926.6868
Sentence 507: 108.6617
Sentence 508: 6215.6626
Sentence 509: 7947.5068
Sentence 510: 4518.9704
Sentence 511: 5479.9479
Sentence 512: 96.7830
Sentence 513: 323.2409
Sentence 514: 7.7618
Sentence 515: 17.0228
Sentence 516: 6571.5167
Sentence 517: 1140.5144
Sentence 518: 7584.8942
Sentence 519: 14.5750
Sentence 520: 524.7342
Sentence 521: 159.0160
Sentence 522: 3065.1252
Sentence 523: 8571.7293
Sentence 524: 55.5558
Sentence 525: 2.0050
Sentence 526: 4204.6363
Sentence 527: 3155.2504
Sentence 528: 1436.1662
Sentence 529: 8.4570
Sentence 530: 1382.6077
Sentence 531: 19.2930
Sentence 532: 9666.2556
Sentence 533: 120.6006
Sentence 534: 902.1463
Sentence 535: 4.5332
Sentence 536: 536.0516
Sentence 537: 283.6823
Sentence 538: 965.0234
Sentence 539: 37.1975
Sentence 540: 1922.3526
Sentence 541: 6.2489
Sentence 542: 7481.4455
Sentence 543: 173.7659
Sentence 544: 1.0008
Sentence 545: 1.4103
Sentence 546: 7699.9923
Sentence 547: 9836.2525
Sentence 548: 91.1846
Sentence 549: 33.9401
Sentence 550: 300.5716
